GO annotation	Process prediction	P-value
GO:0061188	negative regulation of chromatin silencing at rDNA	2.11678e-05
GO:0034085	establishment of sister chromatid cohesion	2.15485e-05
GO:0034087	establishment of mitotic sister chromatid cohesion	2.15485e-05
GO:0007017	microtubule-based process	2.32264e-05
GO:0048285	organelle fission	2.76808e-05
GO:0090054	regulation of chromatin silencing at silent mating-type cassette	3.74726e-05
GO:0065004	protein-DNA complex assembly	3.74726e-05
GO:0051170	nuclear import	4.07907e-05
GO:0017038	protein import	4.96527e-05
GO:0051031	tRNA transport	6.37099e-05
GO:0010604	positive regulation of macromolecule metabolic process	6.92307e-05
GO:0031939	negative regulation of chromatin silencing at telomere	0.000116247
GO:0007067	mitosis	0.000154069
GO:0048522	positive regulation of cellular process	0.000155421
GO:0051028	mRNA transport	0.000226899
GO:0045132	meiotic chromosome segregation	0.000236882
GO:0031990	mRNA export from nucleus in response to heat stress	0.000280927
GO:0043242	negative regulation of protein complex disassembly	0.000346572
GO:1901879	regulation of protein depolymerization	0.000346572
GO:1901880	negative regulation of protein depolymerization	0.000346572
GO:0000132	establishment of mitotic spindle orientation	0.000553427
GO:0051294	establishment of spindle orientation	0.000553427
GO:0006259	DNA metabolic process	0.000595001
GO:0006476	protein deacetylation	0.000636278
GO:0016575	histone deacetylation	0.000636278
GO:0035601	protein deacylation	0.000636278
GO:0048518	positive regulation of biological process	0.000636278
GO:0032886	regulation of microtubule-based process	0.000636278
GO:0070507	regulation of microtubule cytoskeleton organization	0.000636278
GO:0034503	protein localization to nucleolar rDNA repeats	0.000738426
GO:0061408	positive regulation of transcription from RNA polymerase II promoter in response to heat stress	0.000807207
GO:0016569	covalent chromatin modification	0.0008654
GO:0016570	histone modification	0.0008654
GO:0051494	negative regulation of cytoskeleton organization	0.0008654
GO:0000280	nuclear division	0.0011838
GO:0031938	regulation of chromatin silencing at telomere	0.00128823
GO:0040001	establishment of mitotic spindle localization	0.00130263
GO:0051293	establishment of spindle localization	0.00130263
GO:0030472	mitotic spindle organization in nucleus	0.00149458
GO:0043085	positive regulation of catalytic activity	0.00149458
GO:0007051	spindle organization	0.00175438
GO:0051641	cellular localization	0.00187969
GO:0045143	homologous chromosome segregation	0.00250183
GO:0018205	peptidyl-lysine modification	0.003518
GO:0006367	transcription initiation from RNA polymerase II promoter	0.003518
GO:0031110	regulation of microtubule polymerization or depolymerization	0.003518
GO:0009628	response to abiotic stimulus	0.00400997
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.00447843
GO:0016479	negative regulation of transcription from RNA polymerase I promoter	0.00447843
GO:0006337	nucleosome disassembly	0.00447843
GO:0032986	protein-DNA complex disassembly	0.00447843
GO:0000226	microtubule cytoskeleton organization	0.00487986
GO:0045786	negative regulation of cell cycle	0.00627289
GO:0006606	protein import into nucleus	0.00632087
GO:0007021	tubulin complex assembly	0.00682325
GO:0070727	cellular macromolecule localization	0.00837203
GO:0071826	ribonucleoprotein complex subunit organization	0.00837203
GO:0022618	ribonucleoprotein complex assembly	0.00837203
GO:0007052	mitotic spindle organization	0.00900417
GO:0010639	negative regulation of organelle organization	0.00915424
GO:0051129	negative regulation of cellular component organization	0.00915424
GO:0007094	mitotic spindle assembly checkpoint	0.0115274
GO:0045839	negative regulation of mitosis	0.0115274
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	0.0115274
GO:0051784	negative regulation of nuclear division	0.0115274
GO:0071173	spindle assembly checkpoint	0.0115274
GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	0.0115274
GO:0071103	DNA conformation change	0.0128983
GO:0016571	histone methylation	0.0149897
GO:0006379	mRNA cleavage	0.0149897
GO:0007049	cell cycle	0.0158133
GO:0007064	mitotic sister chromatid cohesion	0.0181629
GO:0044093	positive regulation of molecular function	0.0185722
GO:0070071	proton-transporting two-sector ATPase complex assembly	0.0202685
GO:0006338	chromatin remodeling	0.024167
GO:0070192	chromosome organization involved in meiosis	0.024167
GO:0006409	tRNA export from nucleus	0.024167
GO:0031124	mRNA 3'-end processing	0.0365271
GO:0032984	macromolecular complex disassembly	0.0365271
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	0.0423437
GO:0043620	regulation of DNA-dependent transcription in response to stress	0.0423437
